,DEV_NAME,MANAGED_BY,TDS,CONS_TDS,CONS_NAME
2046,SHELTON HOUSE,BAISLEY PARK,279,091,BAISLEY PARK CONSOLIDATED
2047,SMITH,SMITH,027,027,SMITH
2059,SOTOMAYOR HOUSES,SOTOMAYOR HOUSES,067,067,SOTOMAYOR HOUSES CONSOLIDATED
2090,SOUNDVIEW,SOUNDVIEW,071,071,SOUNDVIEW
2105,SOUTH BEACH,SOUTH BEACH,035,035,SOUTH BEACH CONSOLIDATED
2113,SOUTH BRONX AREA (SITE 402),UNION AVENUE CONSOLIDATED,305,342,UNION AVENUE CONSOLIDATED
2117,SOUTH JAMAICA I,SOUTH JAMAICA I,008,008,SOUTH JAMAICA CONSOLIDATED
2129,SOUTH JAMAICA II,SOUTH JAMAICA I,066,008,SOUTH JAMAICA CONSOLIDATED
2145,STANTON STREET,KRAUS MANAGEMENT (PRIVATE - M/B 1),559,359,KRAUS MANAGEMENT CONSOLIDATED
2146,STAPLETON,STAPLETON,114,114,STAPLETON
2154,STEBBINS AVENUE-HEWITT PLACE,UNION AVENUE CONSOLIDATED,353,342,UNION AVENUE CONSOLIDATED
2156,STERLING PLACE REHABS (SAINT JOHNS-STERLING),PARK ROCK CONSOLIDATED,366,351,PARK ROCK CONSOLIDATED
2161,STERLING PLACE REHABS (STERLING-BUFFALO),PARK ROCK CONSOLIDATED,368,351,PARK ROCK CONSOLIDATED
2168,STRAUS,STRAUS,153,153,STRAUS CONSOLIDATED
2170,STUYVESANT GARDENS I,STUYVESANT GARDENS I,221,221,STUYVESANT GARDENS CONSOLIDATED
2178,STUYVESANT GARDENS II,STUYVESANT GARDENS I,333,221,STUYVESANT GARDENS CONSOLIDATED
2179,SUMNER,SUMNER,073,073,SUMNER CONSOLIDATED
2192,SURFSIDE GARDENS,SURFSIDE GARDENS,170,170,SURFSIDE GARDENS CONSOLIDATED
2197,SUTTER AVENUE-UNION STREET,REID APARTMENTS,369,167,REID APARTMENTS CONSOLIDATED
2200,TAFT,TAFT,097,097,TAFT CONSOLIDATED
2212,TAPSCOTT STREET REHAB,REID APARTMENTS,354,167,REID APARTMENTS CONSOLIDATED
2220,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,234,234,TAYLOR -WYTHE  CONSOLIDATED
2226,TELLER AVENUE-EAST 166TH STREET,CLAREMONT CONSOLIDATED,223,308,CLAREMONT CONSOLIDATED
2227,THOMAS APARTMENTS,WISE TOWERS,268,127,WISE TOWERS CONSOLIDATED
2228,THROGGS NECK,THROGGS NECK,063,063,THROGGS NECK CONSOLIDATED
2261,THROGGS NECK ADDITION,THROGGS NECK,193,063,THROGGS NECK CONSOLIDATED
2265,TILDEN,TILDEN,096,096,TILDEN
2274,TODT HILL,TODT HILL,042,042,TODT HILL
2282,TOMPKINS,TOMPKINS,131,131,TOMPKINS CONSOLIDATED
2292,TWIN PARKS EAST (SITE 9),1010 EAST 178TH STREET,287,180,1010 EAST 178TH STREET
2293,TWO BRIDGES URA (SITE 7),LA GUARDIA,266,076,LA GUARDIA CONSOLIDATED
2294,UNION AVENUE-EAST 163RD STREET,UNION AVENUE CONSOLIDATED,342,342,UNION AVENUE CONSOLIDATED
2296,UNION AVENUE-EAST 166TH STREET,UNION AVENUE CONSOLIDATED,356,342,UNION AVENUE CONSOLIDATED
2302,"UNITY PLAZA (SITES 17,24,25A)",UNITY PLAZA,240,261,UNITY PLAZA CONSOLIDATED
2305,UNITY PLAZA (SITES 4-27),UNITY PLAZA,261,261,UNITY PLAZA CONSOLIDATED
2310,UNIVERSITY AVENUE REHAB,KRAUS MANAGEMENT (PRIVATE - BX 3),341,341,KRAUS MANAGEMENT CONSOLIDATED
2314,UPACA (SITE 5),ROBINSON,343,241,JACKIE ROBINSON CONSOLIDATED
2315,UPACA (SITE 6),ROBINSON,355,241,JACKIE ROBINSON CONSOLIDATED
2316,VAN DYKE I,VAN DYKE I,061,061,VAN DYKE I
2339,VAN DYKE II,WOODSON,146,182,WOODSON
2340,VANDALIA AVENUE,PENNSYLVANIA-WORTMAN,315,194,PENNSYLVANIA AVENUE-WORTMAN AVENUE CONSOLIDATED
2343,VLADECK,VLADECK,006,006,VLADECK CONSOLIDATED
2363,VLADECK II,VLADECK,007,006,VLADECK CONSOLIDATED
2367,WAGNER,WAGNER,074,074,WAGNER CONSOLIDATED
2399,WALD,WALD,023,023,WALD
2417,WASHINGTON,WASHINGTON,062,062,WASHINGTON CONSOLIDATED
